create_time,bid,campaign_id,custom_track,group_id,job_id,publisher_id,ts
a57d3910-0c8e-11ed-ab61-944fe185fce6,,,alive,,,,2022-07-26 02:57:00
3d618280-0bff-11ed-85a2-fb0a050d5402,0,222,click,,1534,1,2022-07-25 09:50:00
22a985c0-0bfd-11ed-8fe0-3300d5376087,1,48,,34,188,1,2022-07-25 09:35:00
413cee60-ff0e-11ec-ac88-a8efe65344fd,,,,,,,2022-07-05 06:22:00
d44be230-fea3-11ec-a340-b398ac21f9b2,2,4,,,98,1,2022-07-08 09:53:00
90366290-0c00-11ed-aee0-99034bec8d05,,,alive,,,,2022-07-25 10:00:00
ce7883c0-0c8d-11ed-8518-1707be8c5600,0,151,click,28,1103,1,2022-07-26 02:51:00
264d6ba0-01e5-11ed-98a7-bcaab1dda64a,,,click,,,,2022-07-12 13:18:00
306f3910-09a6-11ed-ae59-0046bd3e43bc,,,click,,,,2022-07-22 10:08:00
09d90390-01bc-11ed-844b-dd7fafb4e873,,,,,,,2022-07-12 08:24:00
927ccd10-0803-11ed-9e9d-bafe7d60bb53,,,,,,,2022-07-20 08:11:00
659ca7c0-0209-11ed-9981-49bc8835dcc8,,,conversion,,,,2022-07-12 17:38:00
0604aae0-0cb0-11ed-8b97-615bae691541,,,alive,,,,2022-07-26 06:56:00
0bd39c00-0275-11ed-b89b-d46736bc3ecb,,,,,,,2022-07-13 06:28:00
be8e0700-0bf7-11ed-b80c-d838f5513e0e,,,click,,,,2022-07-25 08:57:00
98c38040-0cb0-11ed-88d5-ea992e4cc878,0,222,click,,1530,1,2022-07-26 07:00:00
5d549e40-00e9-11ed-a3ab-cfaaccfb2737,,,,,,,2022-07-11 07:16:00
40344cb0-00ea-11ed-8050-f67d84d4c049,,,click,,,,2022-07-11 07:22:00
30ad8e30-0d62-11ed-b043-09f4dfac48fd,0,222,,,1527,1,2022-07-27 04:11:00
50f53ce0-0cb0-11ed-b2ac-a74aa46371ef,0,222,,,1529,1,2022-07-26 06:58:00
b6e2e5d0-0c00-11ed-a956-133d07594a21,0,222,click,,1530,1,2022-07-25 10:01:00
2f30cdf0-0a5c-11ed-861b-08624db6c6e5,,,,,,,2022-07-23 07:50:00
e9f91220-0825-11ed-a14d-0a07dcba9ac8,,,,,,,2022-07-20 12:17:00
80584030-02ca-11ed-aec9-721c594aa857,,,click,,,,2022-07-13 16:40:00
33f3b880-0d62-11ed-be9a-97fb35e33cd1,0,222,,,1527,1,2022-07-27 04:11:00
52775b80-00e8-11ed-afa4-3b59cef62c44,,,,,,,2022-07-11 07:08:00
5737ee50-0c00-11ed-b089-97c962609401,0,222,click,,1531,1,2022-07-25 09:58:00
08e1f470-0d64-11ed-b9cc-ec3762baffd8,0,222,click,,1534,1,2022-07-27 04:24:00
